1935,Top Hat,Romance,609000,3202000,99,100,91
1936,San Francisco,Drama,1300000,5273000,115,100,71
1937,Snow White and the Seven Dwarfs,Animation,1488000,184925485,83,98,78
1938,Alexander's Ragtime Band,Drama,2000000,4000000,106,80,49
1939,Gone with the Wind,Drama,3900000,390525192,220,94,93
1940,Pinocchio,Animation,2600000,84300000,88,100,72
1941,Sergeant York,Drama,1400000,16400000,134,84,87
1942,Bambi,Animation,858000,268000000,70,91,72
1943,This is the Army,Comedy,850000,19500000,121,61,55
1944,Meet Me in St. Louis,Comedy,1707000,12800000,113,100,87
1945,Mom and Dad,Drama,65000,16000000,97,52,50
1946,Song of the South,Animation,2125000,65000000,94,56,73
1947,Forever Amber,Drama,6000000,16000000,138,14,46
1948,Red River,Action,3000000,9012000,133,100,87
1949,Samson and Delilah,Drama,3000000,28800000,131,50,58
1950,Cinderella,Animation,2900000,263591415,74,97,80
1951,Quo Vadis?,Drama,8250000,30000000,171,88,73
1952,The Greatest Show on Earth,4000000,36000000,152,44,56
1953,Peter Pan,Animation,4000000,87400000,77,75,80
1954,Rear Window,Thriller,1000000,27559000,112,100,95
1955,Lady and the Tramp,Animation,4000000,93600000,76,89,80
1956,The Ten Commandments,Drama,13500000,80000000,219,91,86
1957,The Bridge on the River Kwai,Drama,3000000,33300000,161,94,93
1958,South Pacific,Romance,6000000,36800000,157,89,70
1959,Ben-Hur,Adventure,15000000,73000000,212,88,89
1960,Swiss Family Robinson,Adventure,4000000,40400000,126,80,78
1961,101 Dalmatians,Animation,4000000,153000000,79,98,75
1962,The Longest Day,Action,10000000,50100000,178,92,90
1963,Cleopatra,Drama,42000000,71000000,192,52,70
1964,Mary Poppins,Musical,6000000,102300000,139,100,86
1965,The Sound of Music,Musical,8200000,286214286,174,85,91
1966,Hawaii,Drama,15000000,34562222,189,71,52
1967,The Jungle Book,Animation,4000000,141843000,78,85,82
1968,Funny Girl,Comedy,14100000,58500000,151,92,85
1969,Butch Cassidy and the Sundance Kid,Western,6000000,102308900,112,89,93
1970,Love Story,Drama,2200000,136397186,99,57,76
1971,Billy Jack,Action,800000,98000000,114,64,64
1972,The Godfather,Drama,7000000,268355541,175,99,98
1973,The Exorcist,Horror,12000000,402735134,121,86,87
1974,Blazing Saddles,Comedy,2600000,119500000,93,90,91
1975,Jaws,Horror,12000000,470700000,124,97,90
1976,Rocky,Drama,1000000,225000000,119,92,68
1977,Star Wars IV: A New Hope,Sci-Fi,11000000,786535665,119,94,96
1978,Grease,Musical,6000000,387513770,110,78,88
1979,Kramer vs Kramer,Drama,8000000,106260000,105,88,89
1980,Star Wars V: The Empire Strikes Back,Sci-Fi,23000000,534058751,124,95,97
1981,Raiders of the Lost Ark,Adventure,20000000,389925971,115,96,96
1982,ET: The Extra-Terrestrial,Drama,10500000,792804231,114,98,71
1983,Star Wars VI: Return of the Jedi,Sci-Fi,32500000,572625409,133,78,95
1984,Ghostbusters,Comedy,30000000,295212467,107,97,88
1985,Back to the Future,Adventure,19000000,385524862,116,96,94
1986,Top Gun,Action,15000000,356800601,110,54,83
1987,3 Men and a Baby,Comedy,15000000,164016972,102,74,47
1988,Rain Man,Comedy,25000000,408080878,133,90,90
1989,Batman,Action,35000000,409132777,121,72,84
1990,Home Alone,Comedy,15000000,468427450,103,54,79
1991,Beauty and the Beast,Animation,20000000,451421625,85,85,88
1992,Aladdin,Animation,28000000,495277270,90,94,92
1993,Jurassic Park,Action,63000000,1038812584,126,93,91
1994,The Lion King,Animation,79300000,987480140,87,91,93
1995,Toy Story,Animation,30000000,364402211,80,100,92
1996,Independence Day,Sci-Fi,75000000,817355682,145,60,75
1997,Titanic,Thriller,200000000,2207615668,194,88,69
1998,Saving Private Ryan,Drama,65000000,484819491,169,92,95
1999,Star Wars I: The Phantom Menace,Sci-Fi,115000000,1027044677,133,57,60
2000,How the Grinch Stole Christmas,Comedy,123000000,345141403,105,53,55
2001,Harry Potter and the Sorcerer's Stone,Adventure,125000000,974755371,152,80,82
2002,Spider-Man,Super Hero,139000000,821706375,121,89,67
2003,Finding Nemo,Animation,94000000,936429370,100,99,86
2004,Shrek 2,Animation,70000000,932252921,92,88,69
2005,Star Wars III: Revenge of the Sith,Sci-Fi,115000000,848998877,139,80,65
2006,Pirates of the Caribbean: Dead Man's Chest,Adventure,225000000,323464171,151,54,72
2007,Spider-Man 3,Super Hero,258000000,890875303,139,63,51
2008,The Dark Knight,Super Hero,185000000,1002891358,152,94,94
2009,Avatar,Action,425000000,2783918982,162,83,82
2010,Toy Story 3,Animation,200000000,1069818229,102,99,89
2011,Harry Potter and the Deathly Hallows: Part II,Adventure,125000000,1341511219,131,96,89
2012,The Avengers,Super Hero,225000000,1519479547,143,92,91
2013,The Hunger Games: Catching Fire,Adventure,130000000,864868047,146,89,89
2014,American Sniper,Drama,58000000,547326372,132,72,85
2015,Jurassic World,Action,215000000,1667137056,124,70,80